session,iso3c,Countryname,USAgree,ChinaAgree
36,CAN,Canada,0.5263158,0.4273504
37,CAN,Canada,0.443038,0.4397163
38,CAN,Canada,0.4832215,0.3970588
39,CAN,Canada,0.4635762,0.3945578
40,CAN,Canada,0.4802632,0.4266667
41,CAN,Canada,0.410596,0.4533333
42,CAN,Canada,0.3714286,0.4565217
43,CAN,Canada,0.3257576,0.424
44,CAN,Canada,0.2631579,0.4818182
45,CAN,Canada,0.297619,0.4939759
46,CAN,Canada,0.3611111,0.4637681
47,CAN,Canada,0.3424658,0.4428571
48,CAN,Canada,0.390625,0.4677419
49,CAN,Canada,0.4117647,0.5151515
50,CAN,Canada,0.4074074,0.5769231
51,CAN,Canada,0.5,0.5405405
52,CAN,Canada,0.4444444,0.5070423
53,CAN,Canada,0.4375,0.516129
54,CAN,Canada,0.4264706,0.4705882
55,CAN,Canada,0.4179104,0.5373134
56,CAN,Canada,0.4057971,0.4705882
57,CAN,Canada,0.3333333,0.5
58,CAN,Canada,0.3684211,0.4933333
59,CAN,Canada,0.4,0.4782609
60,CAN,Canada,0.3783784,0.527027
61,CAN,Canada,0.3804348,0.4666667
62,CAN,Canada,0.4303797,0.4487179
63,CAN,Canada,0.44,0.3972603
64,CAN,Canada,0.5882353,0.3382353
65,CAN,Canada,0.5074627,0.4029851
66,CAN,Canada,0.8235294,0.2647059
67,CAN,Canada,0.7205882,0.2424242
68,CAN,Canada,0.796875,0.234375
69,CAN,Canada,0.7721519,0.2820513
70,CAN,Canada,0.7638889,0.2676056
71,CAN,Canada,0.7051282,0.2857143
72,CAN,Canada,0.5777778,0.3555556
73,CAN,Canada,0.5263158,0.3655914
74,CAN,Canada,0.5604396,0.3370787
75,CAN,Canada,0.53125,0.4042553
76,CAN,Canada,0.6315789,0.3815789
77,CAN,Canada,0.7272727,0.2988506
78,CAN,Canada,0.6860465,0.3411765
28,BHS,Bahamas,0.3783784,0.6129032
29,BHS,Bahamas,0.372549,0.6666667
30,BHS,Bahamas,0.2222222,0.5172414
31,BHS,Bahamas,0.2375,0.6875
32,BHS,Bahamas,0.3452381,0.7758621
33,BHS,Bahamas,0.3870968,0.8045977
34,BHS,Bahamas,0.2905983,0.9052632
35,BHS,Bahamas,0.2268041,0.8271605
36,BHS,Bahamas,0.1692308,0.8782609
37,BHS,Bahamas,0.1458333,0.8359375
38,BHS,Bahamas,0.1369863,0.8496241
39,BHS,Bahamas,0.08333333,0.85
40,BHS,Bahamas,0.1292517,0.8344828
41,BHS,Bahamas,0.1232877,0.8275862
42,BHS,Bahamas,0.1294964,0.8832117
43,BHS,Bahamas,0.104,0.85
44,BHS,Bahamas,0.09821429,0.9
45,BHS,Bahamas,0.1547619,0.8690476
46,BHS,Bahamas,0.1527778,0.8857143
47,BHS,Bahamas,0.1454545,0.75
48,BHS,Bahamas,0.203125,0.8064516
49,BHS,Bahamas,0.3283582,0.7384615
50,BHS,Bahamas,0.2727273,0.6756757
51,BHS,Bahamas,0.3285714,0.7571429
52,BHS,Bahamas,0.2647059,0.7794118
53,BHS,Bahamas,0.2333333,0.7413793
54,BHS,Bahamas,0.2063492,0.7142857
55,BHS,Bahamas,0.2272727,0.8181818
56,BHS,Bahamas,0.1694915,0.7966102
57,BHS,Bahamas,0.1643836,0.8450704
58,BHS,Bahamas,0.173913,0.8382353
59,BHS,Bahamas,0.07246377,0.8529412
60,BHS,Bahamas,0.08695652,0.884058
61,BHS,Bahamas,0.1428571,0.8539326
62,BHS,Bahamas,0.1392405,0.8589744
63,BHS,Bahamas,0.1571429,0.8382353
64,BHS,Bahamas,0.1076923,0.8461538
65,BHS,Bahamas,0.1969697,0.8769231
66,BHS,Bahamas,0.2424242,0.8030303
67,BHS,Bahamas,0.2089552,0.8307692
68,BHS,Bahamas,0.2096774,0.8225806
69,BHS,Bahamas,0.2133333,0.8243243
70,BHS,Bahamas,0.2307692,0.75
71,BHS,Bahamas,0.2727273,0.7236842
72,BHS,Bahamas,0.1764706,0.8117647
73,BHS,Bahamas,0.1935484,0.7802198
74,BHS,Bahamas,0.1931818,0.8023256
75,BHS,Bahamas,0.202381,0.7804878
76,BHS,Bahamas,0.2238806,0.7941176
77,BHS,Bahamas,0.36,0.7702703
78,BHS,Bahamas,0.3428571,0.6956522
1,CUB,Cuba,0.675,
2,CUB,Cuba,0.6578947,
3,CUB,Cuba,0.6043956,
4,CUB,Cuba,0.5555556,
5,CUB,Cuba,0.6415094,
6,CUB,Cuba,0.44,
7,CUB,Cuba,0.755102,
8,CUB,Cuba,0.64,
9,CUB,Cuba,0.5666667,
10,CUB,Cuba,0.7037037,
11,CUB,Cuba,0.7666667,
12,CUB,Cuba,0.8125,
13,CUB,Cuba,0.8484848,
14,CUB,Cuba,0.2777778,
15,CUB,Cuba,0.2038835,
16,CUB,Cuba,0.109589,
17,CUB,Cuba,0.08823529,
18,CUB,Cuba,0.137931,
20,CUB,Cuba,0.225,
21,CUB,Cuba,0.09090909,
22,CUB,Cuba,0.1403509,
23,CUB,Cuba,0.2352941,
24,CUB,Cuba,0.2195122,
25,CUB,Cuba,0.1451613,
26,CUB,Cuba,0.3418803,0.7659574
27,CUB,Cuba,0.2134831,0.7647059
28,CUB,Cuba,0.2528736,0.761194
29,CUB,Cuba,0.25,0.7454545
30,CUB,Cuba,0.25,0.7291667
31,CUB,Cuba,0.1282051,0.8412698
32,CUB,Cuba,0.2386364,0.8196721
33,CUB,Cuba,0.2520325,0.872093
34,CUB,Cuba,0.15,0.8877551
35,CUB,Cuba,0.09375,0.8641975
36,CUB,Cuba,0.07575758,0.8362069
37,CUB,Cuba,0.07741935,0.7898551
38,CUB,Cuba,0.08108108,0.7851852
39,CUB,Cuba,0.0397351,0.7959184
40,CUB,Cuba,0.05921053,0.7687075
41,CUB,Cuba,0.06622517,0.8175676
42,CUB,Cuba,0.03623188,0.8455882
43,CUB,Cuba,0.06015038,0.8818898
44,CUB,Cuba,0.03508772,0.9009009
45,CUB,Cuba,0.07142857,0.8690476
46,CUB,Cuba,0.05555556,0.9
47,CUB,Cuba,0.05555556,0.942029
48,CUB,Cuba,0.06349206,0.9672131
49,CUB,Cuba,0.1428571,0.9016393
50,CUB,Cuba,0.07594937,0.8815789
51,CUB,Cuba,0.07246377,0.9130435
52,CUB,Cuba,0.08571429,0.8714286
53,CUB,Cuba,0.122807,0.8421053
54,CUB,Cuba,0.1212121,0.9090909
55,CUB,Cuba,0.1384615,0.9230769
56,CUB,Cuba,0.07575758,0.9230769
57,CUB,Cuba,0.109589,0.9285714
58,CUB,Cuba,0.08108108,0.9863014
59,CUB,Cuba,0.05633803,0.9571429
60,CUB,Cuba,0.05555556,0.9305556
61,CUB,Cuba,0.07692308,0.9550562
62,CUB,Cuba,0.02702703,0.9315068
63,CUB,Cuba,0.04,0.890411
64,CUB,Cuba,0.04477612,0.9104478
65,CUB,Cuba,0.09090909,0.9090909
66,CUB,Cuba,0.07462687,0.8208955
67,CUB,Cuba,0.1014493,0.8507463
68,CUB,Cuba,0.0952381,0.8412698
69,CUB,Cuba,0.1153846,0.8701299
70,CUB,Cuba,0.1506849,0.7916667
71,CUB,Cuba,0.1168831,0.7631579
72,CUB,Cuba,0.1011236,0.8539326
73,CUB,Cuba,0.1170213,0.8478261
74,CUB,Cuba,0.1123596,0.8409091
75,CUB,Cuba,0.1052632,0.827957
76,CUB,Cuba,0.1052632,0.8181818
77,CUB,Cuba,0.1590909,0.7816092
78,CUB,Cuba,0.1744186,0.7764706
1,HTI,Haiti,0.4545455,
2,HTI,Haiti,0.6285714,
3,HTI,Haiti,0.5824176,
4,HTI,Haiti,0.5,
5,HTI,Haiti,0.76,
6,HTI,Haiti,0.48,
7,HTI,Haiti,0.5416667,
8,HTI,Haiti,0.48,
9,HTI,Haiti,0.5925926,
10,HTI,Haiti,0.55,
11,HTI,Haiti,0.8135593,
12,HTI,Haiti,0.6774194,
13,HTI,Haiti,0.9090909,
14,HTI,Haiti,0.5882353,
15,HTI,Haiti,0.65,
16,HTI,Haiti,0.6060606,
17,HTI,Haiti,0.5853659,
18,HTI,Haiti,0.45,
20,HTI,Haiti,0.5172414,
21,HTI,Haiti,0.5777778,
22,HTI,Haiti,0.4,
23,HTI,Haiti,0.4047619,
24,HTI,Haiti,0.4,
25,HTI,Haiti,0.6346154,
26,HTI,Haiti,0.6052632,0.5
27,HTI,Haiti,0.4594595,0.6833333
28,HTI,Haiti,0.3285714,0.7592593
29,HTI,Haiti,0.3666667,0.6046512
30,HTI,Haiti,0.4363636,0.5405405
31,HTI,Haiti,0.3703704,0.44
32,HTI,Haiti,0.3793103,0.8360656
33,HTI,Haiti,0.3884298,0.8941176
34,HTI,Haiti,0.279661,0.9183673
35,HTI,Haiti,0.1969697,0.8703704
36,HTI,Haiti,0.1386139,0.816092
37,HTI,Haiti,0.1782178,0.816092
38,HTI,Haiti,0.2017544,0.8019802
39,HTI,Haiti,0.1338028,0.8201439
40,HTI,Haiti,0.1290323,0.8211382
41,HTI,Haiti,0.1619718,0.822695
42,HTI,Haiti,0.1311475,0.8389831
43,HTI,Haiti,0.1138211,0.9067797
44,HTI,Haiti,0.0952381,0.9320388
45,HTI,Haiti,0.1692308,0.8923077
46,HTI,Haiti,0.09836066,0.8983051
47,HTI,Haiti,0.1666667,0.8730159
48,HTI,Haiti,0.1833333,0.862069
49,HTI,Haiti,0.3230769,0.8095238
50,HTI,Haiti,0.2658228,0.8289474
51,HTI,Haiti,0.3333333,0.7971014
52,HTI,Haiti,0.3035714,0.8035714
53,HTI,Haiti,0.2542373,0.7894737
54,HTI,Haiti,0.234375,0.75
55,HTI,Haiti,0.25,0.8166667
56,HTI,Haiti,0.140625,0.828125
57,HTI,Haiti,0.1126761,0.884058
58,HTI,Haiti,0.1,0.9130435
59,HTI,Haiti,0.2121212,0.4923077
60,HTI,Haiti,0.1515152,0.7878788
61,HTI,Haiti,0.1494253,0.8488372
62,HTI,Haiti,0.06329114,0.8717949
63,HTI,Haiti,0.08695652,0.7910448
64,HTI,Haiti,0.1346154,0.8269231
65,HTI,Haiti,0.1060606,0.8787879
66,HTI,Haiti,0.2539683,0.7777778
67,HTI,Haiti,0.1940299,0.7846154
68,HTI,Haiti,0.1621622,0.8918919
69,HTI,Haiti,0.3214286,0.7857143
70,HTI,Haiti,0.3043478,0.826087
71,HTI,Haiti,0.3333333,0.6603774
72,HTI,Haiti,0.2222222,0.8148148
73,HTI,Haiti,0.2222222,0.6451613
74,HTI,Haiti,0.2833333,0.6896552
75,HTI,Haiti,0.2580645,0.6557377
76,HTI,Haiti,0.2,0.7605634
77,HTI,Haiti,0.3150685,0.6805556
78,HTI,Haiti,0.2948718,0.6753247
1,DOM,Dominican Republic,0.6585366,
2,DOM,Dominican Republic,0.7631579,
3,DOM,Dominican Republic,0.7979798,
4,DOM,Dominican Republic,0.6031746,
5,DOM,Dominican Republic,0.68,
6,DOM,Dominican Republic,0.52,
7,DOM,Dominican Republic,0.5918367,
8,DOM,Dominican Republic,0.64,
9,DOM,Dominican Republic,0.4482759,
10,DOM,Dominican Republic,0.7037037,
11,DOM,Dominican Republic,0.75,
12,DOM,Dominican Republic,0.7647059,
13,DOM,Dominican Republic,0.6969697,
14,DOM,Dominican Republic,0.7592593,
15,DOM,Dominican Republic,0.4901961,
16,DOM,Dominican Republic,0.8235294,
17,DOM,Dominican Republic,0.7692308,
18,DOM,Dominican Republic,0.625,
20,DOM,Dominican Republic,0.5789474,
21,DOM,Dominican Republic,0.5869565,
22,DOM,Dominican Republic,0.5652174,
23,DOM,Dominican Republic,0.4651163,
24,DOM,Dominican Republic,0.4615385,
25,DOM,Dominican Republic,0.6,
26,DOM,Dominican Republic,0.5714286,0.3333333
27,DOM,Dominican Republic,0.4878049,0.5322581
28,DOM,Dominican Republic,0.4310345,0.5227273
29,DOM,Dominican Republic,0.3846154,0.62
30,DOM,Dominican Republic,0.3442623,0.625
31,DOM,Dominican Republic,0.2278481,0.6923077
32,DOM,Dominican Republic,0.4069767,0.7457627
33,DOM,Dominican Republic,0.4736842,0.734375
34,DOM,Dominican Republic,0.2815534,0.8863636
35,DOM,Dominican Republic,0.2886598,0.7590361
36,DOM,Dominican Republic,0.1984733,0.7478261
37,DOM,Dominican Republic,0.1666667,0.8071429
38,DOM,Dominican Republic,0.1597222,0.8549618
39,DOM,Dominican Republic,0.1088435,0.8611111
40,DOM,Dominican Republic,0.1486486,0.8219178
41,DOM,Dominican Republic,0.1870504,0.8043478
42,DOM,Dominican Republic,0.1307692,0.828125
43,DOM,Dominican Republic,0.1311475,0.8644068
44,DOM,Dominican Republic,0.09615385,0.8627451
45,DOM,Dominican Republic,0.1774194,0.8225806
46,DOM,Dominican Republic,0.2142857,0.7435897
47,DOM,Dominican Republic,0.2352941,0.516129
48,DOM,Dominican Republic,0.2542373,0.7017544
51,DOM,Dominican Republic,0.3809524,0.6190476
52,DOM,Dominican Republic,0.3555556,0.7111111
53,DOM,Dominican Republic,0.3333333,0.6842105
54,DOM,Dominican Republic,0.2619048,0.6428571
55,DOM,Dominican Republic,0.2121212,0.8030303
56,DOM,Dominican Republic,0.1515152,0.8307692
57,DOM,Dominican Republic,0.16,0.8611111
58,DOM,Dominican Republic,0.1710526,0.76
59,DOM,Dominican Republic,0.1714286,0.7101449
60,DOM,Dominican Republic,0.1690141,0.7746479
61,DOM,Dominican Republic,0.1777778,0.7640449
62,DOM,Dominican Republic,0.05063291,0.8846154
63,DOM,Dominican Republic,0.07894737,0.8108108
64,DOM,Dominican Republic,0.119403,0.880597
65,DOM,Dominican Republic,0.1384615,0.8769231
66,DOM,Dominican Republic,0.1940299,0.8059701
67,DOM,Dominican Republic,0.1884058,0.7761194
68,DOM,Dominican Republic,0.203125,0.859375
69,DOM,Dominican Republic,0.1898734,0.8589744
70,DOM,Dominican Republic,0.1917808,0.7777778
71,DOM,Dominican Republic,0.2564103,0.7272727
72,DOM,Dominican Republic,0.1348315,0.8089888
73,DOM,Dominican Republic,0.1847826,0.7333333
74,DOM,Dominican Republic,0.1868132,0.7977528
75,DOM,Dominican Republic,0.2,0.7741935
76,DOM,Dominican Republic,0.2368421,0.7532468
77,DOM,Dominican Republic,0.3522727,0.6896552
78,DOM,Dominican Republic,0.3255814,0.6823529
17,JAM,Jamaica,0.5142857,
18,JAM,Jamaica,0.5806452,
20,JAM,Jamaica,0.3,
21,JAM,Jamaica,0.4,
22,JAM,Jamaica,0.5818182,
23,JAM,Jamaica,0.3137255,
24,JAM,Jamaica,0.4390244,
25,JAM,Jamaica,0.4354839,
26,JAM,Jamaica,0.4705882,0.5
27,JAM,Jamaica,0.3939394,0.7105263
28,JAM,Jamaica,0.2592593,0.7761194
29,JAM,Jamaica,0.2238806,0.78
30,JAM,Jamaica,0.25,0.7916667
31,JAM,Jamaica,0.2048193,0.8208955
32,JAM,Jamaica,0.3255814,0.8870968
33,JAM,Jamaica,0.3471074,0.9425287
34,JAM,Jamaica,0.2735043,0.9375
35,JAM,Jamaica,0.185567,0.9058824
36,JAM,Jamaica,0.1860465,0.7304348
37,JAM,Jamaica,0.1202532,0.8510638
38,JAM,Jamaica,0.1506849,0.8195489
39,JAM,Jamaica,0.1079137,0.8467153
40,JAM,Jamaica,0.1549296,0.8368794
41,JAM,Jamaica,0.1586207,0.8
42,JAM,Jamaica,0.1190476,0.8373984
43,JAM,Jamaica,0.09734513,0.8703704
44,JAM,Jamaica,0.0877193,0.8839286
45,JAM,Jamaica,0.1428571,0.8809524
46,JAM,Jamaica,0.1527778,0.8428571
47,JAM,Jamaica,0.1527778,0.7971014
48,JAM,Jamaica,0.2063492,0.7540984
49,JAM,Jamaica,0.2923077,0.7936508
50,JAM,Jamaica,0.2658228,0.7894737
51,JAM,Jamaica,0.2837838,0.7837838
52,JAM,Jamaica,0.25,0.8309859
53,JAM,Jamaica,0.21875,0.7903226
54,JAM,Jamaica,0.1818182,0.7727273
55,JAM,Jamaica,0.2586207,0.7931034
56,JAM,Jamaica,0.1666667,0.8307692
57,JAM,Jamaica,0.1369863,0.8591549
58,JAM,Jamaica,0.1315789,0.88
59,JAM,Jamaica,0.08823529,0.880597
60,JAM,Jamaica,0.08108108,0.8918919
61,JAM,Jamaica,0.05617978,0.8505747
62,JAM,Jamaica,0.06329114,0.8846154
63,JAM,Jamaica,0.08108108,0.8333333
64,JAM,Jamaica,0.119403,0.8656716
65,JAM,Jamaica,0.1538462,0.8923077
66,JAM,Jamaica,0.238806,0.8208955
67,JAM,Jamaica,0.2058824,0.8181818
68,JAM,Jamaica,0.15625,0.859375
69,JAM,Jamaica,0.1973684,0.8666667
70,JAM,Jamaica,0.2191781,0.7638889
71,JAM,Jamaica,0.2820513,0.7142857
72,JAM,Jamaica,0.1573034,0.8089888
73,JAM,Jamaica,0.1630435,0.8
74,JAM,Jamaica,0.1555556,0.8068182
75,JAM,Jamaica,0.2043011,0.7802198
76,JAM,Jamaica,0.1973684,0.7792208
77,JAM,Jamaica,0.3209877,0.7875
78,JAM,Jamaica,0.3095238,0.7108434
17,TTO,Trinidad & Tobago,0.5714286,
18,TTO,Trinidad & Tobago,0.5555556,
20,TTO,Trinidad & Tobago,0.3636364,
21,TTO,Trinidad & Tobago,0.5348837,
22,TTO,Trinidad & Tobago,0.6,
23,TTO,Trinidad & Tobago,0.4,
24,TTO,Trinidad & Tobago,0.3846154,
25,TTO,Trinidad & Tobago,0.3111111,
26,TTO,Trinidad & Tobago,0.4329897,0.7297297
27,TTO,Trinidad & Tobago,0.3333333,0.7222222
28,TTO,Trinidad & Tobago,0.2533333,0.8030303
29,TTO,Trinidad & Tobago,0.2647059,0.7647059
30,TTO,Trinidad & Tobago,0.25,0.7727273
31,TTO,Trinidad & Tobago,0.2117647,0.8405797
32,TTO,Trinidad & Tobago,0.3409091,0.8888889
33,TTO,Trinidad & Tobago,0.3790323,0.9425287
34,TTO,Trinidad & Tobago,0.2666667,0.9285714
35,TTO,Trinidad & Tobago,0.2475248,0.9176471
36,TTO,Trinidad & Tobago,0.1578947,0.9059829
37,TTO,Trinidad & Tobago,0.133758,0.8857143
38,TTO,Trinidad & Tobago,0.1517241,0.8646617
39,TTO,Trinidad & Tobago,0.0952381,0.8472222
40,TTO,Trinidad & Tobago,0.1533333,0.8783784
41,TTO,Trinidad & Tobago,0.1283784,0.8571429
42,TTO,Trinidad & Tobago,0.1014493,0.8970588
43,TTO,Trinidad & Tobago,0.09022556,0.890625
44,TTO,Trinidad & Tobago,0.07894737,0.9017857
45,TTO,Trinidad & Tobago,0.1547619,0.9404762
46,TTO,Trinidad & Tobago,0.1388889,0.9285714
47,TTO,Trinidad & Tobago,0.1846154,0.8225806
48,TTO,Trinidad & Tobago,0.1833333,0.8793103
49,TTO,Trinidad & Tobago,0.3030303,0.828125
50,TTO,Trinidad & Tobago,0.2435897,0.8266667
51,TTO,Trinidad & Tobago,0.2816901,0.7887324
52,TTO,Trinidad & Tobago,0.25,0.8235294
53,TTO,Trinidad & Tobago,0.2033898,0.7368421
54,TTO,Trinidad & Tobago,0.2153846,0.7384615
55,TTO,Trinidad & Tobago,0.3191489,0.7234043
56,TTO,Trinidad & Tobago,0.1612903,0.8064516
57,TTO,Trinidad & Tobago,0.1527778,0.8285714
58,TTO,Trinidad & Tobago,0.1369863,0.8611111
59,TTO,Trinidad & Tobago,0.08823529,0.8656716
60,TTO,Trinidad & Tobago,0.08955224,0.880597
61,TTO,Trinidad & Tobago,0.06741573,0.8735632
62,TTO,Trinidad & Tobago,0.06493506,0.8815789
63,TTO,Trinidad & Tobago,0.1014493,0.880597
64,TTO,Trinidad & Tobago,0.119403,0.8507463
65,TTO,Trinidad & Tobago,0.1492537,0.8955224
66,TTO,Trinidad & Tobago,0.1833333,0.8166667
67,TTO,Trinidad & Tobago,0.2028986,0.8208955
68,TTO,Trinidad & Tobago,0.1875,0.859375
69,TTO,Trinidad & Tobago,0.2077922,0.8421053
70,TTO,Trinidad & Tobago,0.1714286,0.7681159
71,TTO,Trinidad & Tobago,0.2467532,0.7236842
72,TTO,Trinidad & Tobago,0.1428571,0.8095238
73,TTO,Trinidad & Tobago,0.1363636,0.7790698
74,TTO,Trinidad & Tobago,0.1578947,0.7733333
75,TTO,Trinidad & Tobago,0.1612903,0.8021978
76,TTO,Trinidad & Tobago,0.1710526,0.7922078
77,TTO,Trinidad & Tobago,0.2988506,0.755814
78,TTO,Trinidad & Tobago,0.2588235,0.702381
21,BRB,Barbados,0.0,
22,BRB,Barbados,0.5869565,
23,BRB,Barbados,0.3829787,
24,BRB,Barbados,0.3333333,
25,BRB,Barbados,0.4285714,
26,BRB,Barbados,0.4691358,0.55
27,BRB,Barbados,0.4888889,0.6617647
28,BRB,Barbados,0.402439,0.6129032
29,BRB,Barbados,0.4242424,0.54
30,BRB,Barbados,0.3188406,0.5833333
31,BRB,Barbados,0.2235294,0.7971014
32,BRB,Barbados,0.3414634,0.9107143
33,BRB,Barbados,0.338843,0.9310345
34,BRB,Barbados,0.2931034,0.9361702
35,BRB,Barbados,0.26,0.9166667
36,BRB,Barbados,0.1742424,0.9137931
37,BRB,Barbados,0.1401274,0.8428571
38,BRB,Barbados,0.1481481,0.795082
39,BRB,Barbados,0.09459459,0.8055556
40,BRB,Barbados,0.1605839,0.8421053
41,BRB,Barbados,0.1575342,0.8068966
42,BRB,Barbados,0.1304348,0.8529412
43,BRB,Barbados,0.09160305,0.8809524
44,BRB,Barbados,0.0877193,0.9107143
45,BRB,Barbados,0.1547619,0.9047619
46,BRB,Barbados,0.1666667,0.8857143
47,BRB,Barbados,0.1643836,0.8142857
48,BRB,Barbados,0.1935484,0.8
49,BRB,Barbados,0.0,1.0
50,BRB,Barbados,0.3066667,0.7083333
51,BRB,Barbados,0.3442623,0.6885246
52,BRB,Barbados,0.25,0.8125
53,BRB,Barbados,0.2380952,0.7377049
54,BRB,Barbados,0.25,0.7
55,BRB,Barbados,0.2424242,0.8333333
56,BRB,Barbados,0.1451613,0.8225806
57,BRB,Barbados,0.1594203,0.8208955
58,BRB,Barbados,0.1029412,0.8656716
59,BRB,Barbados,0.08823529,0.8656716
60,BRB,Barbados,0.08108108,0.8918919
61,BRB,Barbados,0.04545455,0.872093
62,BRB,Barbados,0.06410256,0.8961039
63,BRB,Barbados,0.08,0.8356164
64,BRB,Barbados,0.09375,0.890625
65,BRB,Barbados,0.1515152,0.8923077
66,BRB,Barbados,0.2424242,0.8181818
67,BRB,Barbados,0.2058824,0.8030303
68,BRB,Barbados,0.1803279,0.8688525
69,BRB,Barbados,0.2077922,0.8552632
70,BRB,Barbados,0.2424242,0.7538462
71,BRB,Barbados,0.2894737,0.7333333
72,BRB,Barbados,0.195122,0.8170732
73,BRB,Barbados,0.1764706,0.7831325
74,BRB,Barbados,0.2,0.7951807
75,BRB,Barbados,0.2173913,0.7888889
76,BRB,Barbados,0.2133333,0.7894737
77,BRB,Barbados,0.345679,0.775
78,BRB,Barbados,0.313253,0.7195122
37,DMA,Dominica,0.1666667,0.9285714
38,DMA,Dominica,0.2075472,0.7333333
39,DMA,Dominica,0.1315789,0.7105263
40,DMA,Dominica,0.1538462,0.7948718
41,DMA,Dominica,0.1363636,0.9090909
42,DMA,Dominica,0.6666667,1.0
43,DMA,Dominica,0.1842105,0.6486486
44,DMA,Dominica,0.2264151,0.6826923
45,DMA,Dominica,0.2,0.7333333
46,DMA,Dominica,0.2631579,0.6111111
47,DMA,Dominica,0.1833333,0.7017544
48,DMA,Dominica,0.25,0.68
49,DMA,Dominica,0.4,0.7674419
50,DMA,Dominica,0.26,0.64
51,DMA,Dominica,0.3653846,0.75
52,DMA,Dominica,0.2790698,0.8139535
53,DMA,Dominica,0.0,1.0
54,DMA,Dominica,0.1864407,0.7627119
55,DMA,Dominica,0.4117647,0.6470588
56,DMA,Dominica,0.2631579,0.7894737
57,DMA,Dominica,0.1944444,0.7777778
58,DMA,Dominica,0.1935484,0.9032258
59,DMA,Dominica,0.06153846,0.875
60,DMA,Dominica,0.1076923,0.9230769
