q1_country_satis,q2a_fav_us,q2c_fav_china,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.590212,5.0,3.0,3.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,0.448247,,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.199648,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.317168,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.62431,2.0,2.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,0.159934,5.0,4.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.444319,5.0,4.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.444319,5.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.112474,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.309653,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.233135,2.0,2.0,2.0,
Dissatisfied,Very unfavorable,Don’t know,Britain,0.658817,5.0,4.0,,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.657694,2.0,3.0,2.0,
Dissatisfied,Very unfavorable,Don’t know,Britain,0.794621,5.0,4.0,,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,0.147053,5.0,2.0,4.0,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,0.501749,5.0,2.0,4.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.709665,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,3.802818,5.0,3.0,3.0,
Satisfied,Very favorable,Very favorable,Britain,3.995454,2.0,1.0,1.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,0.663215,,2.0,2.0,
Satisfied,Very unfavorable,Somewhat unfavorable,Britain,2.99457,2.0,4.0,3.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.560071,5.0,3.0,2.0,
Satisfied,Very favorable,Very unfavorable,Britain,0.661707,2.0,1.0,4.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.577929,5.0,3.0,2.0,
Dissatisfied,Very favorable,Very unfavorable,Britain,0.945861,5.0,1.0,4.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,0.949072,5.0,,2.0,
Dissatisfied,Don’t know,Don’t know,Britain,0.554854,5.0,,,
Satisfied,Don’t know,Somewhat unfavorable,Britain,3.020093,2.0,,3.0,
Satisfied,Very unfavorable,Somewhat favorable,Britain,0.097144,2.0,4.0,2.0,
Dissatisfied,Very favorable,Somewhat favorable,Britain,0.567136,5.0,1.0,2.0,
Satisfied,Don’t know,Don’t know,Britain,0.571774,2.0,,,
Dissatisfied,Very favorable,Somewhat unfavorable,Britain,3.140143,5.0,1.0,3.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,0.560071,5.0,2.0,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.949072,5.0,2.0,2.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,3.112668,5.0,,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.079896,5.0,4.0,2.0,
Don’t know,Very favorable,Very favorable,Britain,0.232347,,1.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.668087,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Very unfavorable,Britain,0.883963,5.0,3.0,4.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.505111,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,3.966228,5.0,2.0,1.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.173949,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.454975,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Very favorable,Britain,0.702946,2.0,2.0,1.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.501749,2.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.687387,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,2.520185,5.0,2.0,3.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,0.707964,5.0,4.0,2.0,
Dissatisfied,Very favorable,Somewhat favorable,Britain,0.765868,5.0,1.0,2.0,
Dissatisfied,Don’t know,Don’t know,Britain,0.65268,5.0,,,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,0.46041,5.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,0.659926,5.0,2.0,1.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,0.515289,5.0,4.0,2.0,
Don’t know,Somewhat unfavorable,Somewhat favorable,Britain,2.471636,,3.0,2.0,
Satisfied,Somewhat favorable,Don’t know,Britain,0.622627,2.0,2.0,,
Dissatisfied,Don’t know,Don’t know,Britain,2.896884,5.0,,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,2.828018,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,2.208404,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.020093,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.143737,5.0,3.0,3.0,
Dissatisfied,Very favorable,Somewhat unfavorable,Britain,0.594167,5.0,1.0,3.0,
Satisfied,Very unfavorable,Somewhat unfavorable,Britain,3.742054,2.0,4.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,2.831015,5.0,2.0,3.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,0.186086,5.0,2.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,2.529144,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.010941,5.0,2.0,2.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,1.010941,5.0,,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.700423,2.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,5.296026,5.0,2.0,2.0,
Satisfied,Don’t know,Very unfavorable,Britain,0.12232,2.0,,4.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,3.004735,,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.260848,5.0,2.0,2.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,1.000173,,2.0,2.0,
Don’t know,Don’t know,Don’t know,Britain,0.792814,,,,
Satisfied,Somewhat unfavorable,Don’t know,Britain,3.226116,2.0,3.0,,
Satisfied,Somewhat favorable,Don’t know,Britain,0.874548,2.0,2.0,,
Dissatisfied,Very unfavorable,Don’t know,Britain,0.46041,5.0,4.0,,
Dissatisfied,Somewhat unfavorable,Don’t know,Britain,3.153646,5.0,3.0,,
Don’t know,Somewhat favorable,Very favorable,Britain,0.133456,,2.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.669069,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,4.16279,5.0,2.0,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.552976,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.020093,5.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.335841,2.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.445148,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.020093,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Don’t know,Britain,0.751471,5.0,2.0,,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,5.257402,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.62431,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Don’t know,Britain,0.732197,2.0,2.0,,
Dissatisfied,Don’t know,Very favorable,Britain,0.627201,5.0,,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.995454,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.251293,5.0,2.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.130579,5.0,4.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.395615,2.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.567952,2.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Don’t know,Britain,0.650472,5.0,3.0,,
Satisfied,Very favorable,Very favorable,Britain,0.883963,2.0,1.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.590889,2.0,2.0,2.0,
Dissatisfied,Very favorable,Don’t know,Britain,2.797896,5.0,1.0,,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.167278,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.145982,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.978346,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.606412,5.0,3.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.421553,5.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.29468,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,2.928071,2.0,2.0,2.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,0.850263,,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.124589,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.395823,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.56381,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.576617,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.052607,5.0,2.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.097234,5.0,4.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.708623,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,3.395823,5.0,2.0,3.0,
Dissatisfied,Don’t know,Don’t know,Britain,3.742054,5.0,,,
Satisfied,Very favorable,Somewhat favorable,Britain,0.794621,2.0,1.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.422986,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Don’t know,Britain,0.745991,2.0,2.0,,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,0.119089,5.0,2.0,3.0,
Satisfied,Somewhat favorable,Very favorable,Britain,0.617238,2.0,2.0,1.0,
Dissatisfied,Don’t know,Somewhat unfavorable,Britain,0.797944,5.0,,3.0,
Satisfied,Somewhat favorable,Very unfavorable,Britain,2.896884,2.0,2.0,4.0,
Dissatisfied,Somewhat unfavorable,Don’t know,Britain,0.445148,5.0,3.0,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,5.704025,5.0,2.0,2.0,
Don’t know,Somewhat unfavorable,Somewhat favorable,Britain,2.585962,,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Don’t know,Britain,3.123039,5.0,3.0,,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.792814,5.0,3.0,3.0,
Don’t know,Very unfavorable,Somewhat favorable,Britain,3.742054,,4.0,2.0,
Dissatisfied,Don’t know,Don’t know,Britain,0.558426,5.0,,,
Don’t know,Very unfavorable,Somewhat favorable,Britain,3.690129,,4.0,2.0,
Satisfied,Very unfavorable,Somewhat favorable,Britain,0.582338,2.0,4.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.482638,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,0.150165,5.0,2.0,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.097234,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Refused,Britain,0.567952,5.0,3.0,,
Dissatisfied,Very unfavorable,Very unfavorable,Britain,2.529144,5.0,4.0,4.0,
Dissatisfied,Very unfavorable,Somewhat unfavorable,Britain,0.55354,5.0,4.0,3.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.554698,5.0,3.0,2.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,0.787032,,2.0,2.0,
Satisfied,Somewhat favorable,Don’t know,Britain,0.776278,2.0,2.0,,
Dissatisfied,Somewhat unfavorable,Very favorable,Britain,3.298457,5.0,3.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,2.538699,2.0,2.0,2.0,
Satisfied,Very favorable,Somewhat unfavorable,Britain,3.145982,2.0,1.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.177495,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,2.849984,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.956044,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,4.087267,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,2.646129,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Don’t know,Britain,2.646129,5.0,2.0,,
Dissatisfied,Somewhat favorable,Very favorable,Britain,1.000173,5.0,2.0,1.0,
Dissatisfied,Somewhat favorable,Don’t know,Britain,2.800861,5.0,2.0,,
Dissatisfied,Very favorable,Somewhat favorable,Britain,0.668087,5.0,1.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.883963,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,4.483486,2.0,2.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,0.128091,5.0,4.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.49809,2.0,3.0,2.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,0.787032,,2.0,2.0,
Satisfied,Somewhat favorable,Don’t know,Britain,2.804071,2.0,2.0,,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,2.975057,2.0,2.0,2.0,
Satisfied,Don’t know,Somewhat unfavorable,Britain,2.655112,2.0,,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.707964,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.792814,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Don’t know,Britain,3.981937,5.0,2.0,,
Satisfied,Don’t know,Don’t know,Britain,0.119089,2.0,,,
Satisfied,Somewhat favorable,Don’t know,Britain,0.883963,2.0,2.0,,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.610447,2.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Don’t know,Britain,0.12232,2.0,3.0,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,4.240023,5.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.458317,2.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.621772,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.151781,2.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.482638,2.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,2.538699,5.0,3.0,3.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.453436,5.0,3.0,3.0,
Dissatisfied,Very unfavorable,Very favorable,Britain,0.146333,5.0,4.0,1.0,
Dissatisfied,Don’t know,Don’t know,Britain,2.896884,5.0,,,
Dissatisfied,Very unfavorable,Very favorable,Britain,0.458317,5.0,4.0,1.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,0.062501,5.0,4.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.454975,5.0,3.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.140143,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,2.585962,5.0,2.0,3.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,4.435731,5.0,4.0,2.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,0.600564,2.0,2.0,3.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,2.797896,2.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.792814,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.601851,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.496405,2.0,2.0,2.0,
Satisfied,Very favorable,Very favorable,Britain,0.713328,2.0,1.0,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,2.567103,5.0,2.0,2.0,
Don’t know,Very favorable,Somewhat favorable,Britain,3.145982,,1.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,2.208404,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.207754,2.0,2.0,2.0,
Satisfied,Very favorable,Don’t know,Britain,0.601446,2.0,1.0,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.781981,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Don’t know,Britain,0.454975,5.0,3.0,,
Don’t know,Very favorable,Don’t know,Britain,0.067811,,1.0,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.732403,5.0,3.0,2.0,
Satisfied,Don’t know,Don’t know,Britain,0.707964,2.0,,,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,0.656882,,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.788826,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.708623,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.781981,5.0,3.0,2.0,
Don’t know,Somewhat unfavorable,Somewhat unfavorable,Britain,0.556536,,3.0,3.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,3.388556,2.0,2.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,2.99457,5.0,2.0,2.0,
Dissatisfied,Very favorable,Very favorable,Britain,0.553505,5.0,1.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.075435,2.0,2.0,2.0,
Dissatisfied,Don’t know,Don’t know,Britain,0.502324,5.0,,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.538089,5.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.55354,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.557571,2.0,2.0,2.0,
Dissatisfied,Very favorable,Somewhat favorable,Britain,0.631769,5.0,1.0,2.0,
Dissatisfied,Very unfavorable,Don’t know,Britain,0.600564,5.0,4.0,,
Dissatisfied,Very favorable,Very favorable,Britain,3.682611,5.0,1.0,1.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.692437,2.0,3.0,2.0,
Satisfied,Very favorable,Somewhat favorable,Britain,0.781981,2.0,1.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,2.800861,5.0,4.0,2.0,
Dissatisfied,Don’t know,Don’t know,Britain,0.39273,5.0,,,
Dissatisfied,Very favorable,Somewhat favorable,Britain,3.140143,5.0,1.0,2.0,
Don’t know,Somewhat unfavorable,Very favorable,Britain,0.726857,,3.0,1.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,3.729394,2.0,2.0,3.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,0.470573,2.0,2.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,4.435731,5.0,2.0,2.0,
Satisfied,Don’t know,Somewhat unfavorable,Britain,0.726063,2.0,,3.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.388556,5.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,3.762313,5.0,2.0,3.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.567952,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.470544,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,0.567952,5.0,2.0,1.0,
Satisfied,Somewhat favorable,Very favorable,Britain,2.740312,2.0,2.0,1.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.041892,5.0,3.0,2.0,
Don’t know,Very favorable,Don’t know,Britain,3.750854,,1.0,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.173949,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.192898,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,3.682531,5.0,2.0,4.0,
Satisfied,Very favorable,Don’t know,Britain,3.643307,2.0,1.0,,
Satisfied,Very favorable,Somewhat favorable,Britain,3.140143,2.0,1.0,2.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,3.189123,5.0,,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,2.831015,5.0,4.0,2.0,
Dissatisfied,Very unfavorable,Don’t know,Britain,0.548932,5.0,4.0,,
Dissatisfied,Don’t know,Don’t know,Britain,4.502237,5.0,,,
Dissatisfied,Very unfavorable,Very unfavorable,Britain,0.949072,5.0,4.0,4.0,
Dissatisfied,Very unfavorable,Very favorable,Britain,2.999683,5.0,4.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,2.67445,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.44666,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.620521,5.0,3.0,3.0,
Dissatisfied,Very favorable,Somewhat favorable,Britain,4.797435,5.0,1.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.63641,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.792814,5.0,3.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.470856,5.0,2.0,2.0,
Dissatisfied,Don’t know,Somewhat unfavorable,Britain,0.595441,5.0,,3.0,
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.194315,2.0,3.0,3.0,
Dissatisfied,Somewhat unfavorable,Very favorable,Britain,3.140143,5.0,3.0,1.0,
Satisfied,Somewhat unfavorable,Don’t know,Britain,0.792814,2.0,3.0,,
Satisfied,Very favorable,Very favorable,Britain,0.187496,2.0,1.0,1.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.835768,5.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.385109,5.0,3.0,2.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,0.51895,5.0,,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,3.775084,2.0,3.0,2.0,
Dissatisfied,Very unfavorable,Very favorable,Britain,0.104772,5.0,4.0,1.0,
Dissatisfied,Very favorable,Don’t know,Britain,0.205541,5.0,1.0,,
Satisfied,Somewhat unfavorable,Don’t know,Britain,0.713328,2.0,3.0,,
Don’t know,Don’t know,Don’t know,Britain,0.485673,,,,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,4.365171,5.0,2.0,4.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.074885,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Don’t know,Britain,3.298457,5.0,2.0,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.554854,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,0.47403,5.0,2.0,4.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.39273,5.0,3.0,2.0,
Dissatisfied,Don’t know,Don’t know,Britain,3.359654,5.0,,,
Satisfied,Somewhat unfavorable,Very favorable,Britain,0.470573,2.0,3.0,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.160454,5.0,2.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.036057,5.0,4.0,2.0,
Dissatisfied,Somewhat unfavorable,Don’t know,Britain,0.143737,5.0,3.0,,
Dissatisfied,Don’t know,Don’t know,Britain,0.627201,5.0,,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.928632,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.385109,5.0,2.0,2.0,
Satisfied,Don’t know,Very favorable,Britain,3.590812,2.0,,1.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,0.53645,5.0,2.0,1.0,
Satisfied,Very unfavorable,Somewhat favorable,Britain,3.030345,2.0,4.0,2.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,2.870434,5.0,,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.449769,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.371058,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.485673,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,4.126757,2.0,2.0,2.0,
Dissatisfied,Very favorable,Very favorable,Britain,4.399657,5.0,1.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.652665,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.615822,5.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,3.18118,5.0,3.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.395823,5.0,2.0,2.0,
Satisfied,Very favorable,Somewhat unfavorable,Britain,0.6518,2.0,1.0,3.0,
Dissatisfied,Very unfavorable,Don’t know,Britain,3.123039,5.0,4.0,,
Satisfied,Somewhat favorable,Very favorable,Britain,0.543882,2.0,2.0,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.956044,2.0,2.0,2.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,3.769544,5.0,,2.0,
Satisfied,Somewhat favorable,Don’t know,Britain,0.554841,2.0,2.0,,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.382502,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.590889,5.0,2.0,2.0,
Don’t know,Somewhat favorable,Very favorable,Britain,3.70632,,2.0,1.0,
Satisfied,Very unfavorable,Somewhat unfavorable,Britain,0.378428,2.0,4.0,3.0,
Dissatisfied,Somewhat favorable,Don’t know,Britain,3.153646,5.0,2.0,,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,0.657475,5.0,2.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.769544,5.0,2.0,2.0,
Dissatisfied,Very unfavorable,Very unfavorable,Britain,0.468952,5.0,4.0,4.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,3.153646,5.0,,2.0,
Satisfied,Very unfavorable,Somewhat favorable,Britain,0.590212,2.0,4.0,2.0,
