satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,1.97738003561756,3.0,2.0,3.0,2.0
Not at all satisfied,DK/Refused,Very unfavorable,Somewhat bad,United States,0.614610005783052,6.0,,4.0,3.0
Not too satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,United States,1.83724818277943,4.0,3.0,2.0,3.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,United States,0.340880119422799,4.0,3.0,4.0,3.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.52499947427521,3.0,1.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.440480093103288,3.0,2.0,3.0,3.0
Not too satisfied,Very favorable,Very unfavorable,Very good,United States,0.977676579991535,4.0,1.0,4.0,1.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.916516306741049,6.0,1.0,3.0,2.0
Very satisfied,Very favorable,Somewhat favorable,Very good,United States,1.34279500998354,1.0,1.0,2.0,1.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Very bad,United States,0.628059592469483,6.0,2.0,4.0,4.0
Not at all satisfied,Very unfavorable,Very unfavorable,Very bad,United States,0.552116214300428,6.0,4.0,4.0,4.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.664328905244409,3.0,2.0,2.0,2.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.678350463539593,4.0,3.0,3.0,3.0
Not too satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,0.341483167762101,4.0,1.0,4.0,3.0
Very satisfied,Very favorable,Very favorable,Very good,United States,0.584279991430711,1.0,1.0,1.0,1.0
Very satisfied,Very favorable,Very unfavorable,Very good,United States,2.84343004494971,1.0,1.0,4.0,1.0
Very satisfied,Very favorable,Somewhat unfavorable,Very good,United States,1.32420024918065,1.0,1.0,3.0,1.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.49227037449908,6.0,3.0,3.0,3.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,2.80331420840405,4.0,1.0,3.0,2.0
Not at all satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,1.86757283079874,6.0,2.0,2.0,3.0
Not too satisfied,Somewhat unfavorable,DK/Refused,Somewhat bad,United States,1.02873991147737,4.0,3.0,,3.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Very bad,United States,0.417154076134714,4.0,3.0,4.0,4.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.3306495495,3.0,1.0,3.0,2.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.617032308409762,3.0,1.0,3.0,2.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.35125127790245,4.0,1.0,3.0,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.415616429033987,4.0,2.0,3.0,2.0
Very satisfied,Very favorable,Somewhat favorable,Very good,United States,0.736661955531066,1.0,1.0,2.0,1.0
Not too satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.525182705049444,4.0,1.0,3.0,1.0
Not too satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.492057230852159,4.0,1.0,2.0,2.0
Very satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.344413429809382,1.0,1.0,2.0,2.0
Not at all satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat good,United States,1.03572775709013,6.0,3.0,2.0,2.0
Not at all satisfied,Very favorable,Very unfavorable,Very bad,United States,0.462101590258486,6.0,1.0,4.0,4.0
Very satisfied,Very favorable,Very unfavorable,Very good,United States,0.554933059233408,1.0,1.0,4.0,1.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.604265940125288,3.0,2.0,2.0,2.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Very good,United States,3.07135457373182,6.0,2.0,3.0,1.0
Not at all satisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.495697032480544,6.0,1.0,4.0,2.0
Not at all satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.513022916966124,6.0,1.0,2.0,3.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.69284068111234,3.0,1.0,3.0,1.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Very good,United States,0.562780655711277,6.0,3.0,3.0,1.0
Not too satisfied,DK/Refused,DK/Refused,Somewhat good,United States,1.51433583106169,4.0,,,2.0
Somewhat satisfied,Very favorable,Very unfavorable,Very bad,United States,0.390126253258621,3.0,1.0,4.0,4.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,3.7911295495,4.0,1.0,3.0,2.0
Very satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,1.41147204136327,1.0,1.0,2.0,2.0
Somewhat satisfied,Very favorable,Very unfavorable,Very good,United States,0.658756120354252,3.0,1.0,4.0,1.0
Not too satisfied,Very favorable,Very unfavorable,Very bad,United States,0.708359930178663,4.0,1.0,4.0,4.0
Not at all satisfied,Very unfavorable,Very unfavorable,Very bad,United States,2.68139469346746,6.0,4.0,4.0,4.0
Not too satisfied,Very favorable,DK/Refused,Somewhat good,United States,0.97826013463762,4.0,1.0,,2.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.930801903833138,6.0,2.0,4.0,2.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,United States,0.368063824318348,4.0,3.0,4.0,2.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.3306495495,4.0,1.0,3.0,2.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.553371526921775,6.0,2.0,3.0,2.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.487802570714016,6.0,3.0,3.0,3.0
Not too satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.389542440950542,4.0,1.0,3.0,1.0
Not too satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,1.0164228731395,4.0,1.0,2.0,3.0
Not at all satisfied,Somewhat unfavorable,Very unfavorable,Very good,United States,0.581569011803291,6.0,3.0,4.0,1.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.537581939305894,4.0,3.0,3.0,3.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,1.40632195215472,4.0,3.0,3.0,3.0
Not too satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,1.19380575254337,4.0,1.0,4.0,3.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,1.22195604862895,6.0,1.0,3.0,3.0
Not too satisfied,Somewhat unfavorable,DK/Refused,Somewhat bad,United States,0.773742253067603,4.0,3.0,,3.0
Not too satisfied,Very favorable,Very unfavorable,Very good,United States,3.7911295495,4.0,1.0,4.0,1.0
Very satisfied,Very favorable,Somewhat favorable,Very good,United States,0.480688246901223,1.0,1.0,2.0,1.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Very bad,United States,0.466938200627818,4.0,2.0,2.0,4.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.419952030609001,6.0,3.0,3.0,3.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.362238588455371,4.0,1.0,3.0,2.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat good,United States,1.08707296739382,3.0,1.0,4.0,2.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,0.916516306741049,3.0,1.0,4.0,3.0
Not too satisfied,Somewhat favorable,Very unfavorable,Very bad,United States,1.74540984291485,4.0,2.0,4.0,4.0
Not too satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.621433075603048,4.0,1.0,2.0,3.0
Not too satisfied,Somewhat unfavorable,DK/Refused,Very bad,United States,1.37406583948191,4.0,3.0,,4.0
Very satisfied,Very favorable,DK/Refused,DK/Refused,United States,1.98999814306624,1.0,1.0,,
Very satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.822397251128759,1.0,1.0,2.0,3.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.419005937503188,3.0,2.0,4.0,2.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.460664436037331,3.0,1.0,2.0,2.0
Not too satisfied,Very favorable,Very unfavorable,Very bad,United States,2.4985479931854,4.0,1.0,4.0,4.0
Very satisfied,Very favorable,Somewhat favorable,Very good,United States,0.931898138220746,1.0,1.0,2.0,1.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.524213892739286,3.0,2.0,3.0,4.0
Not at all satisfied,Somewhat favorable,Somewhat favorable,Very bad,United States,0.757094018422077,6.0,2.0,2.0,4.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.764216294831222,3.0,1.0,2.0,2.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,United States,1.10362683097841,3.0,2.0,4.0,2.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,0.441824659233389,6.0,3.0,3.0,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,1.94554195778523,4.0,2.0,3.0,4.0
Not at all satisfied,Very favorable,DK/Refused,Very bad,United States,0.897499839696607,6.0,1.0,,4.0
Somewhat satisfied,Somewhat favorable,DK/Refused,Somewhat good,United States,3.7911295495,3.0,2.0,,2.0
Somewhat satisfied,Very favorable,Very unfavorable,Very good,United States,0.814057793963295,3.0,1.0,4.0,1.0
Not at all satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.907461798023415,6.0,1.0,2.0,2.0
Very satisfied,Very favorable,Somewhat unfavorable,DK/Refused,United States,0.577851830061165,1.0,1.0,3.0,
Somewhat satisfied,Very favorable,Very unfavorable,Very good,United States,0.439731732388413,3.0,1.0,4.0,1.0
Very satisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.784582479679792,1.0,1.0,4.0,2.0
Somewhat satisfied,Very favorable,Very unfavorable,Very bad,United States,0.474234237187867,3.0,1.0,4.0,4.0
Not at all satisfied,Somewhat unfavorable,Very unfavorable,Very bad,United States,0.331284988927965,6.0,3.0,4.0,4.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.407848663494227,3.0,1.0,4.0,2.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.470635135486642,4.0,1.0,3.0,2.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.349121281163561,3.0,1.0,3.0,2.0
Very satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,0.471958983159144,1.0,1.0,4.0,3.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.753595841993742,4.0,2.0,3.0,3.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.489795904969611,3.0,1.0,3.0,2.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,3.40133002455509,3.0,1.0,4.0,3.0
Not at all satisfied,Very unfavorable,Very unfavorable,Very good,United States,0.828373203324422,6.0,4.0,4.0,1.0
Somewhat satisfied,Very favorable,Very unfavorable,Very good,United States,2.77311637094308,3.0,1.0,4.0,1.0
Not too satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.801055811634662,4.0,1.0,3.0,1.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat good,United States,1.20725499847859,3.0,1.0,4.0,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,2.05200010200218,4.0,2.0,3.0,3.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.552116214300428,3.0,1.0,3.0,2.0
Not too satisfied,Very unfavorable,Very unfavorable,Somewhat bad,United States,0.467835585889751,4.0,4.0,4.0,3.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Very bad,United States,0.467641611271736,4.0,2.0,2.0,4.0
Not at all satisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.835140344654563,6.0,4.0,3.0,3.0
Not at all satisfied,Very favorable,Very unfavorable,Somewhat good,United States,2.50150241373331,6.0,1.0,4.0,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.3306495495,4.0,2.0,3.0,3.0
Very satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.419952030609001,1.0,1.0,3.0,1.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Very bad,United States,3.22879253032364,6.0,1.0,3.0,4.0
Somewhat satisfied,Very favorable,Very unfavorable,Very bad,United States,0.817418181267983,3.0,1.0,4.0,4.0
Somewhat satisfied,Very favorable,Very unfavorable,Very good,United States,0.58851891036201,3.0,1.0,4.0,1.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.64623828689712,6.0,2.0,3.0,4.0
Very satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.685221929299925,1.0,1.0,3.0,1.0
Not too satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,3.7911295495,4.0,1.0,2.0,2.0
Not too satisfied,Very favorable,DK/Refused,Somewhat good,United States,0.999523169733278,4.0,1.0,,2.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.614610005783052,4.0,1.0,3.0,3.0
Somewhat satisfied,Very favorable,Somewhat favorable,Very bad,United States,0.553371638445192,3.0,1.0,2.0,4.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.930478426840446,4.0,2.0,3.0,3.0
Somewhat satisfied,Very favorable,Very unfavorable,Very good,United States,1.02479145312463,3.0,1.0,4.0,1.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.44575224265049,3.0,1.0,3.0,1.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,1.11964203963076,6.0,1.0,3.0,3.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.472535701023421,4.0,1.0,3.0,3.0
Somewhat satisfied,Very favorable,DK/Refused,Somewhat good,United States,0.804566193348582,3.0,1.0,,2.0
Somewhat satisfied,Somewhat favorable,DK/Refused,Very bad,United States,0.553371638445192,3.0,2.0,,4.0
Not at all satisfied,Very favorable,Very unfavorable,Very good,United States,0.452859998678906,6.0,1.0,4.0,1.0
Not at all satisfied,Somewhat unfavorable,Very unfavorable,Very bad,United States,0.414680384329311,6.0,3.0,4.0,4.0
Not too satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,1.32795897570387,4.0,1.0,4.0,3.0
Not at all satisfied,Very favorable,Very favorable,Somewhat good,United States,0.652598020694239,6.0,1.0,1.0,2.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,United States,0.396746272035095,4.0,3.0,4.0,3.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,0.459593384538674,3.0,1.0,4.0,3.0
Somewhat satisfied,Very favorable,Somewhat favorable,Very bad,United States,0.487802570714016,3.0,1.0,2.0,4.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.490451326414911,4.0,1.0,3.0,3.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.787144816392009,3.0,1.0,4.0,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.81718062086356,4.0,2.0,3.0,4.0
Not at all satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,0.677642561010993,6.0,2.0,2.0,3.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.498353640990219,1.0,2.0,3.0,4.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.513020825943556,3.0,1.0,2.0,3.0
Not too satisfied,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.704811706481154,4.0,2.0,4.0,2.0
Not at all satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,2.67615901819982,6.0,1.0,2.0,3.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.452859998678906,3.0,1.0,2.0,3.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.615711935770745,3.0,1.0,3.0,2.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,United States,0.382584951077564,4.0,3.0,3.0,4.0
Very satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,0.644181723895048,1.0,1.0,4.0,3.0
Somewhat satisfied,Very favorable,DK/Refused,Somewhat good,United States,1.81918404558704,3.0,1.0,,2.0
Not too satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.421176640228653,4.0,1.0,2.0,3.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat good,United States,2.71297019434172,3.0,1.0,4.0,2.0
Very satisfied,Very favorable,Very unfavorable,Somewhat bad,United States,0.425472693476724,1.0,1.0,4.0,3.0
Not at all satisfied,Somewhat favorable,Somewhat favorable,Very bad,United States,0.655582124873874,6.0,2.0,2.0,4.0
Not too satisfied,Very favorable,Very unfavorable,Very bad,United States,0.546716664197393,4.0,1.0,4.0,4.0
Very satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.42855208971405,1.0,1.0,3.0,3.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,0.3306495495,4.0,2.0,2.0,3.0
Not at all satisfied,Very unfavorable,DK/Refused,DK/Refused,United States,0.883185595858692,6.0,4.0,,
Not too satisfied,Somewhat favorable,DK/Refused,Somewhat bad,United States,0.407819543112775,4.0,2.0,,3.0
Not too satisfied,Very favorable,Very unfavorable,DK/Refused,United States,0.597035081182075,4.0,1.0,4.0,
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,0.442006388384885,4.0,3.0,3.0,2.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Very bad,United States,0.820218158866177,4.0,3.0,4.0,4.0
Not at all satisfied,Somewhat unfavorable,Very unfavorable,Very good,United States,0.899711882767792,6.0,3.0,4.0,1.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.49559027751398,4.0,2.0,3.0,4.0
Not at all satisfied,Very unfavorable,DK/Refused,Very bad,United States,0.670507686639051,6.0,4.0,,4.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.400954617209854,3.0,1.0,3.0,3.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.791562812943408,6.0,3.0,3.0,3.0
Not at all satisfied,Very favorable,Very unfavorable,Somewhat good,United States,2.13688356825877,6.0,1.0,4.0,2.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,United States,1.03979626158503,6.0,2.0,4.0,3.0
Somewhat satisfied,Very favorable,Somewhat favorable,Very bad,United States,1.04094766042125,3.0,1.0,2.0,4.0
Not at all satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,United States,2.81246190025068,6.0,3.0,4.0,3.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.999523169733278,4.0,2.0,3.0,2.0
Not too satisfied,Very favorable,Very unfavorable,Very good,United States,0.69157143650193,4.0,1.0,4.0,1.0
Not too satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,1.1468853630396,4.0,1.0,2.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,1.27002891486481,3.0,2.0,3.0,3.0
Not at all satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.623761594205059,6.0,1.0,2.0,3.0
Somewhat satisfied,Somewhat favorable,DK/Refused,Very good,United States,0.442671272328295,3.0,2.0,,1.0
Somewhat satisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.770501341258505,3.0,1.0,4.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,1.17949930431181,3.0,2.0,3.0,3.0
DK/Refused,Very favorable,Very unfavorable,Very good,United States,0.418246989024053,,1.0,4.0,1.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.44452320881473,3.0,2.0,3.0,3.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.586450329149506,4.0,2.0,2.0,2.0
Not too satisfied,Very unfavorable,Very unfavorable,Somewhat good,United States,0.856317704258329,4.0,4.0,4.0,2.0
Not too satisfied,DK/Refused,Somewhat unfavorable,DK/Refused,United States,0.479806473833562,4.0,,3.0,
DK/Refused,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.673096734823992,,2.0,3.0,2.0
Not too satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.717485310228485,4.0,1.0,3.0,1.0
Not at all satisfied,Somewhat unfavorable,DK/Refused,Very bad,United States,1.83212344117322,6.0,3.0,,4.0
Very satisfied,Very favorable,Somewhat unfavorable,Very good,United States,1.11162846490502,1.0,1.0,3.0,1.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.477830284263513,4.0,2.0,2.0,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,1.74037521297691,4.0,2.0,3.0,4.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.389154212068975,6.0,1.0,3.0,3.0
Not too satisfied,Very favorable,Very favorable,Somewhat good,United States,0.538356790162778,4.0,1.0,1.0,2.0
Not too satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.797638905699421,4.0,1.0,2.0,2.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,United States,0.503623071885884,3.0,2.0,4.0,3.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.450270486646548,4.0,2.0,2.0,2.0
Not at all satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,1.06232322937216,6.0,2.0,2.0,3.0
Not at all satisfied,Very unfavorable,DK/Refused,Somewhat good,United States,0.519701727217696,6.0,4.0,,2.0
Somewhat satisfied,Very favorable,Very unfavorable,Very good,United States,0.601008031710196,3.0,1.0,4.0,1.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Very bad,United States,2.3405243102891,6.0,2.0,4.0,4.0
Somewhat satisfied,Very favorable,Very unfavorable,Very good,United States,0.498353640990219,3.0,1.0,4.0,1.0
Not at all satisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.480688246901223,6.0,1.0,4.0,2.0
Not at all satisfied,Very favorable,Very favorable,Very good,United States,0.876701466582233,6.0,1.0,1.0,1.0
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.889080028794124,1.0,2.0,4.0,2.0
Very satisfied,Very favorable,Very unfavorable,Very good,United States,0.695165924144173,1.0,1.0,4.0,1.0
DK/Refused,Somewhat favorable,Somewhat favorable,Very good,United States,2.73281443909755,,2.0,2.0,1.0
